#ap2016,anp2016,b2017,r2017,hindi,code,desc,b2018
"","","","","","3451","Secretariat - Economic Services",""
"18500","0","0","0","4 ","53.00.60","Other Capital Expenditure","0"
"18500","0","0","0",":","","Total:Advance Ordering","0"
"","","","","T","54","NASA ISRO Synthetic Aperture Radar Mission (NISAR)",""
"0","0","22400","97500","","54.00.52","Machinery & Equipment","150000"
"189465","0","261800","587500","4 ","54.00.60","Other Capital Expenditure","700000"
"189465","0","284200","685000",":T","","Total:NASA ISRO Synthetic Aperture Radar Mission (NISAR)","850000"
"","","","","',(...)","55","Master Control Facility (MCF)",""
"323600","0","720236","320000","","55.00.52","Machinery & Equipment","350000"
"20926","0","70000","10000","%%","55.00.53","Major Works","89500"
"1000","0","1000","0","4 ","55.00.60","Other Capital Expenditure","1000"
"","","","","?@","55.99","Information Technology",""
"5000","0","55450","20000","","55.99.52","Machinery & Equipment","53500"
"350526","0","846686","350000",": ',(...)","","Total:Master Control Facility (MCF)","494000"
"","","","","*+","56","Indian Space Research Organisation Headquarters (ISRO Hq)",""
"645921","0","356000","169500","","56.00.53","Major Works","10049500"
"325","0","500","500","%% - *","","Charged","500"
"645596","0","355500","169500","","","Voted","10049500"
"","","","","?@","56.99","Information Technology",""
"0","0","90000","121000","","56.99.52","Machinery & Equipment","65000"
"645921","0","446000","291000",":*+","","Total:Indian Space Research Organisation Headquarters (ISRO Hq)","10115000"
"325","0","500","500","'(.)*","","Charged","500"
"645596","0","445500","290500","","","Voted","10114500"
"","","","","*%-3 .3..","57","Resourcesat-3S & 3SA",""
"0","0","10000","11000","","57.00.52","Machinery & Equipment","76500"
"1432","0","81500","180500","","57.00.60","Other Capital Expenditure","266600"
"1432","0","91500","191500",": *%-3.3..","","Total:Resourcesat-3S & 3SA","343100"
"","","","","*%-33.","58","Resourcesat-3 & 3A",""
"0","0","30000","500","","58.00.52","Machinery & Equipment","500"
"0","0","45000","8000","","58.00.60","Other Capital Expenditure","199500"
"0","0","75000","8500",": *%-33.","","Total:Resourcesat-3 & 3A","200000"
"","","","","I,(..) ","59","High Resoulution Satellite (HRSAT) Constellation",""
"0","0","9400","23500","","59.00.52","Machinery & Equipment","80000"
"0","0","500","24100","","59.00.60","Other Capital Expenditure","190000"
"0","0","9900","47600",": I,(..) ","","Total:High Resoulution Satellite (HRSAT) Constellation","270000"
"","","","","*+","60","Solid Propellant Space Booster Plant (SPROB)",""
"0","0","200000","10000","","60.00.52","Machinery & Equipment","100000"
"0","0","260000","20000","%%","60.00.53","Major Works","350000"
"0","0","40000","0","","60.00.60","Other Capital Expenditure","0"
"0","0","500000","30000",":*+","","Total:Solid Propellant Space Booster Plant (SPROB)","450000"
"","","","","","61","Third Launch Pad",""
"0","0","5000","0","","61.00.52","Machinery & Equipment","500"
"0","0","4000","0","%%","61.00.53","Major Works","400"
"0","0","1000","0","","61.00.60","Other Capital Expenditure","100"
"0","0","10000","0",":","","Total:Third Launch Pad","1000"
"","","","",",","62","Semi Cryogenic Stage Development",""
"0","0","9800","0","","62.00.52","Machinery & Equipment","500"
"0","0","100","0","4 ","62.00.60","Other Capital Expenditure","400"
"0","0","9900","0",":,","","Total:Semi Cryogenic Stage Development","900"
"","","","","N*","63","Semi Cryogenic Engine Clustering",""
"0","0","800","0","","63.00.52","Machinery & Equipment","800"
"0","0","100","0","4 ","63.00.60","Other Capital Expenditure","100"
"0","0","900","0",":N*","","Total:Semi Cryogenic Engine Clustering","900"
"","","","","!,","64","Advanced Launch Vehicle Development",""
"0","0","9772","0","","64.00.52","Machinery & Equipment","800"
"0","0","100","0","4 ","64.00.60","Other Capital Expenditure","100"
"0","0","9872","0",": !,","","Total:Advanced Launch Vehicle Development","900"
"","","","",".... / %(-6)","65","PSLV Continuation Programme (Phase-6)",""
"0","0","0","0","","65.00.52","Machinery & Equipment","200"
"0","0","0","0","%%","65.00.53","Major Works","200"
"0","0","0","0","4 ","65.00.60","Other Capital Expenditure","200"
"","","","","?@","65.99","Information Technology",""
"0","0","0","0","","65.99.52","Machinery & Equipment","200"
"0","0","0","0",":","","Total:PSLV Continuation Programme (Phase-6)","800"
"","","","","","66","GSLV Mk-III Continuation Programme (Phase-1)",""
"0","0","0","0","","66.00.52","Machinery & Equipment","200"
"0","0","0","0","%%","66.00.53","Major Works","200"
"0","0","0","0","4 ","66.00.60","Other Capital Expenditure","400"
"0","0","0","0",": .... % -III / %","","Total:GSLV Mk-III Continuation Programme (Phase-1)","800"
"","","","","+V?@ ,","67","Technology Development for Orbital Module",""
"0","0","0","0","","67.00.52","Machinery & Equipment","800"
"0","0","0","0","4 ","67.00.60","Other Capital Expenditure","100"
"0","0","0","0",": +V?@","","Total:Technology Development for Orbital Module","900"
"","","","","...,(...)","68","PSLV Integration Facility (PIF)",""
"0","0","0","0","","68.00.52","Machinery & Equipment","200000"
"0","0","0","0","%%","68.00.53","Major Works","300000"
"0","0","0","0",": ...,(..)","","Total:PSLV Integration Facility (PIF)","500000"
"","","","","","69","Small Satellite Launch Vehicle (SSLV) Development",""
"0","0","0","0","","69.00.52","Machinery & Equipment","800"
"0","0","0","0","%%","69.00.60","Other Capital Expenditure","100"
"0","0","0","0",":","","Total:Small Satellite Launch Vehicle (SSLV) Development","900"
"18189511","0","27711010","26483800",": *+ ?@ ()","","Total:Space Technology","41579200"
"325","0","3000","3000","*","","Charged","3000"
"18189186","0","27708010","26480800","","","Voted","41576200"
"","","","","*+","5402","Capital Outlay on Space Research",""
"","","","","*+(%)","00.102","Space Applications",""
"","","","","*+()","01","Space Applications Centre (SAC)",""
"1199100","0","3358179","2900000","","01.00.52","Machinery & Equipment","3200000"
"0","0","500","500","%% - *","01.00.53","Major Works - Charged","500"
"624491","0","1999500","789500","","","Voted","849500"
"49991","0","19500","80000","4 ","01.00.60","Other Capital Expenditure","100000"
"","","","","?@","01.99","Information Technology",""
"0","0","10000","648000","","01.99.52","Machinery & Equipment","350000"
"1873582","0","5387679","4418000",": *+()","","Total:Space Applications Centre (SAC)","4500000"
"0","0","500","500","*","","Charged","500"
"1873582","0","5387179","4417500","","","Voted","4499500"
"","","","",",O+()","02","Development & Educational Communication Unit (DECU)",""
"13350","0","20000","11800","","02.00.52","Machinery & Equipment","30000"
"13350","0","20000","11800","","","Total:Development & Educational Communication Unit (DECU)","30000"
"","","","","","06","Disaster Management Support (DMS)",""
"44059","0","104400","27400","","06.00.52","Machinery & Equipment","146000"
"0","0","8700","6400","%%","06.00.53","Major Works","1000"
"","","","","?@","06.99","Information Technology",""
"0","0","12500","31200","","06.99.52","Machinery & Equipment","8000"
"44059","0","125600","65000",":(/...)","","Total:Disaster Management Support (DMS)","155000"
"","","","","/(....)","07","National Remote Sensing Centre (NRSC)",""
"80460","0","1000050","450000","","07.00.52","Machinery & Equipment","500000"
"0","0","500","500","%% -*","07.00.53","Major Works -Charged","500"
"299800","0","635500","199500","","","Voted","249500"
"203435","0","96900","84000","4 ","07.00.60","Other Capital Expenditure","150000"
"","","","","?@","07.99","Information Technology",""
"199865","0","773050","700000","","07.99.52","Machinery & Equipment","900000"
"783560","0","2506000","1434000",":/ ","","Total:National Remote Sensing Centre (NRSC)","1800000"
"0","0","500","500","(....)*","","Charged","500"
"783560","0","2505500","1433500","","","Voted","1799500"
"","","","","","08","Indian Institute of Remote Sensing (IIRS)",""
"36600","0","75528","69300","","08.00.52","Machinery & Equipment","95000"
"90000","0","150000","123100","%%","08.00.53","Major Works","170000"
"15500","0","200","100","4 ","08.00.60","Other Capital Expenditure","100"
"","","","","?@","08.99","Information Technology",""
"10900","0","5000","5000","","08.99.52","Machinery & Equipment","20000"
"153000","0","230728","197500","","","Total:Indian Institute of Remote Sensing (IIRS)","285100"
"","","","","-+(....)","09","Earth Observation Applications Mission (EOAM)",""
"","","","","?@","09.99","Information Technology",""
"0","","500","800","","09.99.52","Machinery & Equipment","0"
"0","","500","800","","","Total:Earth Observation Applications Mission (EOAM)","0"
"2867551","0","8270507","6127100",": *+(%)","","Total:Space Applications","6770100"
"0","0","1000","1000","*","","Charged","1000"
"2867551","0","8269507","6126100","","","Voted","6769100"
"","","","","*+","5402","Capital Outlay on Space Research",""
"","","","","*+ ,:(%) (/)","00.103","Space Sciences",""
"","","","","","02","Astrosat",""
"490","","0","0","4 ","02.00.60","Other Capital Expenditure","0"
"490","0","0","0",":","","Total:Astrosat","0"
"","","","","-- 12","03","Indian Lunar Mission - Chandrayaan -1 & 2",""
"55458","0","164600","130000","","03.00.52","Machinery & Equipment","10000"
"331353","0","320700","480000","4 ","03.00.60","Other Capital Expenditure","590000"
"386811","0","485300","610000",":-- 12","","Total:Indian Lunar Mission - Chandrayaan -1 & 2","600000"
"","","","","R,:","06","Small Satellites for Atmospheric Studies & Astronomy",""
"2493","0","24000","13000","4 ","06.00.60","Other Capital Expenditure","23000"
"2493","0","24000","13000","4 ","","Total:Small Satellites for Atmospheric Studies & Astronomy","23000"
"","","","","10 ","07","ADITYA",""
"3919","0","45100","33500","","07.00.52","Machinery & Equipment","100000"
"358934","0","338400","250000","4 ","07.00.60","Other Capital Expenditure","260000"
"362853","0","383500","283500",":10 ","","Total:ADITYA","360000"
"","","","","%","10","Climate & Atmospheric Programme",""
"2729","0","99900","45200","","10.00.52","Machinery & Equipment","56000"
"0","0","100","1000","4 ","10.00.60","Other Capital Expenditure","0"
"2729","0","100000","46200",":%","","Total:Climate & Atmospheric Programme","56000"
"","","","","N -(N )","11","X-RAY Polarimeter Satellite (Xposat)",""
"0","0","29500","31500","","11.00.52","Machinery & Equipment","2500"
"0","0","66700","42500","4 ","11.00.60","Other Capital Expenditure","150000"
"0","0","96200","74000",": N -(N )","","Total:X-RAY Polarimeter Satellite (Xposat)","152500"
"","","","","*+ 1  /+ ","12","Space Docking Experiment Mission",""
"0","0","45000","22500","","12.00.52","Machinery & Equipment","45000"
"0","0","52500","5000","","12.00.60","Other Capital Expenditure","40000"
"0","0","97500","27500",": *+ 1  /+ ","","Total:Space Docking Experiment Mission","85000"
"","","","","","13","Mission to Venus",""
"0","0","100","0","","13.00.52","Machinery & Equipment","300"
"0","0","800","0","","13.00.60","Other Capital Expenditure","500"
"0","0","900","0","","","Total:Mission to Venus","800"
"","","",""," O+ -II","14","Mars Orbiter Mission - II",""
"0","0","100","0","","14.00.52","Machinery & Equipment","300"
"0","0","800","0","","14.00.60","Other Capital Expenditure","500"
"0","0","900","0",":  O+ -II","","Total:Mars Orbiter Mission - II","800"
"","","","","  ,// ,: %","15","Sensor Payload Development/Planetary Science Programme",""
"","","",""," ?@","15.99","Information Technology",""
"0","0","100","100","","15.99.52","Machinery & Equipment","100"
"0","0","100","100","","","Total:Sensor Payload Development/Planetary Science Programme","100"
"755376","0","1188400","1054300",": *+ ,: ( %)","","Total:Space Sciences","1278200"
"","","","","","00.105","INSAT Satellite System",""
"","","","","! -3 ","01","INSAT-3 Satellites",""
"1431","0","27100","27500","","01.00.52","Machinery & Equipment","12500"
"63629","0","28400","30000","","01.00.60","Other Capital Expenditure","62500"
"65060","0","55500","57500",": ! -3 ","","Total:INSAT-3 Satellites","75000"
"","","","","! -4/ ","02","INSAT-4/GSAT Satellites",""
"740","0","9900","10300","","02.00.52","Machinery & Equipment","30000"
"172968","0","265360","397300","","02.00.60","Other Capital Expenditure","646900"
"173708","0","275260","407600",":! -4/ ","","Total:INSAT-4/GSAT Satellites","676900"
"","","",""," 15 ","03","GSAT 15 Satellite",""
"37607","0","0","0","","03.00.52","Machinery & Equipment","0"
"462322","0","0","0","","03.00.60","Other Capital Expenditure","0"
"499929","0","0","0",":  15 ","","Total:GSAT 15 Satellite","0"
"","","",""," 15  -  ","05","GSAT-15 Satellite - Launch Services",""
"4034","0","0","0","","05.00.60","Other Capital Expenditure","0"
"4034","0","0","0",":  15  -  ","","Total:GSAT-15 Satellite - Launch Services","0"
"","","","","-16 ","06","GSAT-16 Satellite",""
"31647","0","0","0","","06.00.52","Machinery & Equipment","0"
"1009","0","0","0","","06.00.60","Other Capital Expenditure","0"
"32656","0","0","0",":-16 ","","Total:GSAT-16 Satellite","0"
"","","","","-17 ","07","GSAT-17 Satellite",""
"15669","0","34000","34200","","07.00.52","Machinery & Equipment","6600"
"840914","0","807000","698700","","07.00.60","Other Capital Expenditure","395600"
"856583","0","841000","732900",": -17 ","","Total:GSAT-17 Satellite","402200"
"","","","","-17   ","08","GSAT-17 Satellite Launch Services",""
"2584659","0","267823","311300","","08.00.60","Other Capital Expenditure","0"
"2584659","0","267823","311300",": -17   ","","Total:GSAT-17 Satellite Launch Services","0"
"","","","","-18 ","09","GSAT-18 Satellite",""
"18976","0","47000","17200","","09.00.52","Machinery & Equipment","0"
"1088863","0","194300","394800","","09.00.60","Other Capital Expenditure","0"
"1107839","0","241300","412000",": -18 ","","Total:GSAT-18 Satellite","0"
"","","","","-18  -  ","10","GSAT-18 Satellite - Launch Services",""
"332654","0","0","0","","10.00.60","Other Capital Expenditure","0"
"332654","0","0","0",": -18  -  ","","Total:GSAT-18 Satellite - Launch Services","0"
"","","","","-19 ","11","GSAT-19 Satellite",""
"38572","0","11500","45000","","11.00.52","Machinery & Equipment","7500"
"284218","0","350500","269000","","11.00.60","Other Capital Expenditure","55500"
"322790","0","362000","314000",": -19 ","","Total:GSAT-19 Satellite","63000"
"","","","","-20 ","12","GSAT-20 Satellite",""
"0","0","40000","0","","12.00.52","Machinery & Equipment","300000"
"0","0","360000","284700","","12.00.60","Other Capital Expenditure","100000"
"0","0","400000","284700",": -20 ","","Total:GSAT-20 Satellite","400000"
"","","","","  1  X ","13","GSAT follow-on Satellites including Launch Services",""
"0","0","0","0","","13.00.52","Machinery & Equipment","100"
"0","0","1900","56700","","13.00.60","Other Capital Expenditure","100"
"0","0","1900","56700",":      1    X","","Total:GSAT follow-on Satellites including Launch Services","200"
"","","","","/    A  ","15","Procurement of Heavier class Satellites",""
"0","0","9900","0","","15.00.60","Other Capital Expenditure","900"
"0","0","9900","0",": /    A  ","","Total:Procurement of Heavier class Satellites","900"
"","","","","  1 !   ","16","Advanced Communication Satellite (GSAT-11) including launch services",""
"9590","0","198600","8000","","16.00.52","Machinery & Equipment","0"
"7644674","0","850000","767200","","16.00.60","Other Capital Expenditure","49500"
"7654264","0","1048600","775200","","","Total:Advanced Communication Satellite (GSAT-11) including launch services","49500"
"","","","","","17","GSAT-21 Satellite",""
"0","0","9800","0","","17.00.52","Machinery & Equipment","300"
"0","0","100","0","","17.00.60","Other Capital Expenditure","500"
"0","0","9900","0",": -21 ","","Total:GSAT-21 Satellite","800"
"","","","","-22/23/24 ","18","GSAT-22/23/24 Satellites",""
"0","0","19600","0","","18.00.52","Machinery & Equipment","50000"
"0","0","200","104500","","18.00.60","Other Capital Expenditure","350000"
"0","0","19800","104500",": -22/23/24 ","","Total:GSAT-22/23/24 Satellites","400000"
"","","","","","19","Augmentation of capacity through leasing of transponders from foreign satellites",""
"0","0","100000","0","","19.00.60","Other Capital Expenditure","1000"
"0","0","100000","0",":  ,  A    A    Y","","Total:Augmentation of capacity through leasing of transponders from foreign satellites","1000"
"","","","","-25  28 ","20","GSAT-25 & 28 Satellites",""
"0","0","0","0","","20.00.52","Machinery & Equipment","800"
"0","0","0","0","","20.00.60","Other Capital Expenditure","100"
"0","0","0","0",": -25  28 ","","Total:GSAT-25 & 28 Satellites","900"
"","","","","-26  27 ","21","GSAT-26 & 27 Satellites",""
"0","0","0","0","","21.00.52","Machinery & Equipment","800"
"0","0","0","0","","21.00.60","Other Capital Expenditure","100"
"0","0","0","0",": -26  27 ","","Total:GSAT-26 & 27 Satellites","900"
"","","","","-29 ","22","GSAT-29 Satellite",""
"0","0","0","0","","22.00.52","Machinery & Equipment","8300"
"0","0","0","0","","22.00.60","Other Capital Expenditure","249700"
"0","0","0","0",": -29 ","","Total:GSAT-29 Satellite","258000"
"","","","","-30 ","23","GSAT-30 Satellite",""
"0","0","0","0","","23.00.52","Machinery & Equipment","800"
"0","0","0","0","","23.00.60","Other Capital Expenditure","100"
"0","0","0","0",": -30 ","","Total:GSAT-30 Satellite","900"
"","","","","-31 ","24","GSAT-31 Satellite",""
"0","0","0","0","","24.00.52","Machinery & Equipment","800"
"0","0","0","0","","24.00.60","Other Capital Expenditure","100"
"0","0","0","0",": -31 ","","Total:GSAT-31 Satellite","900"
"","","","","-32 ","25","GSAT- 32 Satellite",""
"0","0","0","0","","25.00.52","Machinery & Equipment","800"
"0","0","0","0","","25.00.60","Other Capital Expenditure","100"
"0","0","0","0",": -32 ","","Total:GSAT- 32 Satellite","900"
"13634176","0","3632983","3456400","","","Total:INSAT Satellite System","2332000"
"","","","","*+   ","5402","Capital Outlay on Space Research",""
"","","","","","00.283","Housing",""
"","","","",",  *+  ","01","Vikram Sarabhai Space Centre (VSSC)",""
"99986","0","250000","250000","","01.00.53","Major Works","250000"
"99986","0","250000","250000","","","Total:Vikram Sarabhai Space Centre (VSSC)","250000"
"","","","","    ","02","Liquid Propulsion Systems Centre (LPSC)",""
"0","0","300","0","","02.00.53","Major Works","200"
"0","0","300","0","","","Total:Liquid Propulsion Systems Centre (LPSC)","200"
"","","","","  *+  -","03","Satish Dhawan Space Centre-SHAR",""
"39644","0","100000","46000","","03.00.53","Major Works","115000"
"39644","0","100000","46000","","","Total:Satish Dhawan Space Centre-SHAR","115000"
"","","","","","04","ISRO Telemetry, Tracking and Command Network (ISTRAC)",""
"0","0","0","0","","04.00.53","Major Works","100"
"0","0","0","0","","","Total:ISRO Telemetry, Tracking and Command Network (ISTRAC)","100"
"","","","","*+   ","05","Space Applications Centre",""
"19000","0","50000","30000","","05.00.53","Major Works","150000"
"19000","0","50000","30000","","","Total:Space Applications Centre","150000"
"","","","","","09","National Remote Sensing Centre (NRSC)",""
"85998","0","30000","55000","","09.00.53","Major Works","145000"
"85998","0","30000","55000","","","Total:National Remote Sensing Centre (NRSC)","145000"
"","","","","","10","Indian Institute of Remote Sensing (IIRS)",""
"0","0","100","0","","10.00.53","Major Works","100"
"0","0","100","0","","","Total:Indian Institute of Remote Sensing (IIRS)","100"
"","","","","  ^ 7 N  (....)","11","ISRO Propulsion Complex (IPRC)",""
"100000","0","50000","81000","","11.00.53","Major Works","3500"
"100000","0","50000","81000","","","Total:ISRO Propulsion Complex (IPRC)","3500"
"","","","","'   , (...)","12","Master Control Facility (MCF)",""
"19000","0","70000","43000","","12.00.53","Major Works","98500"
"19000","0","70000","43000","","","Total:Master Control Facility (MCF)","98500"
"","","","","","13","Indian Space Research Organisation Headquarters (ISRO Hq)",""
"59996","0","200000","116000","","13.00.53","Major Works","150000"
"59996","0","200000","116000","","","Total:Indian Space Research Organisation Headquarters (ISRO Hq)","150000"
"423624","0","750400","621000","","","Total:Housing","912400"
"","","","","% +  !  A  ","00.190","Investments in Public Sector and Other Undertakings",""
"","","","","1N  P ","01","Antrix Corporation Limited",""
"0","0","0","34000","","01.00.54","Investment","0"
"0","0","0","34000","","","Total:Antrix Corporation Limited","0"
"0","0","0","34000","","","Total:Investments in Public Sector and Other Undertakings","0"
"35870737","0","41553800","37777100",": '  % '5402'","","Total:Major Head '5402'","52872400"
"325","0","4000","4000","","","Charged","4000"
"35870412","0","41549800","37773100","","","Voted","52868400"
"35870737","0","41553800","37777100","","","Total:Capital Section","52872400"
"325","0","4000","4000","","","Charged","4000"
"35870412","0","41549800","37773100","","","Voted","52868400"
"65297259","15102709","90937100","91589200","","","GRAND TOTAL","107834200"
"325","1207","10000","10000","","","Charged","10000"
"65296934","15101502","90927100","91579200","","","Voted","107824200"
